Tweet,Class
ههههههههه ولك هس خراس ليش انت بتمون عسرماية بهالبلد لتحكي برؤسا دول روح ارعى غنماتك اكتر من هيك ما فيك تعمل,abusive
كتير بايخة وسخيفة,abusive
"جبران عفلق، حبش الخ على الطريق",normal
عمر ملحس يلحس,abusive
رئيسك للأبد    ,normal
معق حق جبران باسيل من وين إلو الحق يحط خطة كهربا من وين إلو الحق ينقب عن النفط,normal
وهذا من حق الوزير الملك جبران باسيل,normal
الحلو بالعهد انو عم ينقلنا ع مراحل جديدة,normal
انت بشو بتحلم يا حمار تبقى الصبي عند طال منشارو,abusive
اننا على ثقه انك لن ترتاح قبل انا تبين الحقيقه مهما عمل من تضليل ,normal
بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,normal
اخ يالله وهاب قبل عملية تجميل وقت كان خذمجي لا ابو عبدو على فكرة بس اللبنانية بيعرفو مين… ,normal
يا هبيله بتعرف حالك منيح بطل هبل ,abusive
مصيرك يا وئام الى مزبلة التاريخ والايام بيننا ,abusive
كلنا صوت الحق كلنا صوت القائد وئام وهاب ,normal
نزعتها لما قلت بمواجهة كل العرب كان يجب أن تقول بمواجهة سوريا وهذا يكفي ,normal
خبرو هيك للغالي,normal
المحتال عينه عا مجد العظماء ومرة وحدة قال بشير الجميل وكميل شمعون,normal
يا عيب لشوم عليك يا كركوز ,abusive
قولكن بعد القمة العربية بيرجعوا بيطفّوا نفق سليم سلام,normal
يجب الدعاء لنزول النيزك ومن بعدها ظهور شعب جديد ,normal
يا معاليك انا بدالك بخاف من انو يكون في دولة قوية ,normal
في واحد طلع شرش عليّق ب دارو اهملو وما اهتم فيه اليوم صار دبشة كبيرة بدّا قص ,normal
مفكرين كل العالم متل المعارضة السورية,normal
يا نصراني ابن المجرم أنت أخبث من الحمار سبعين ضعفا يا كلب,hate
كول هوا ياحمار,abusive
شو يا وهاب ما علقت على القمه اليوم بس كانت على كيف كيفك ,normal
كل ما عنا صلاح بهل طيفه من مشايخنا و ليد بيك لا خوف من ابواق لاسد و تصحيح وزير سابق في حقبة النظام ال… ,normal
هيد الشعب مش بحاجة لاموالكم هيد شعب بحاجة لضمائركم الغائبة ,normal
فقد نقلت وكالة الأنباء القطرية عن محمد بن عبد الرحمن الثاني أن بلاده ستشتري سندات خزينة لبنانية,normal
ياليت تطلب من بشار يعطيك الجنسية السورية,normal
في ع مار مخايل قد ما زغير ما بيساع الا طاولة لشخصين بيقعد عليا صاحب ال وخطيبته,normal
كلام وزير الخارجية جبران باسيل كلام سيادي ووطني ويستحق التحية عليه والشكر للصديق على الترجمة,normal
و الله ما يدرون وين الله قاطهم خونة منافقين,abusive
"كيف بتبهدل حالك ب حركات؟؟جيب جبران باسيل، وعملو وزير الخارجية، ويطلع يتحفنا بأفكاره دولياً مش بس محلياً   ♀ …",normal
ردود الشعب اللبناني كفاية يا رئيس الحزب توحيد العرب قال انت أصلا معروف مذهبك مره مع ومره ضد ولك ,normal
مصير الدولة والعهد على محك محاربة الفساد ,normal
اذا كنت رجال بطل الحكي يلي ما بينفع وقدم دعوة فيها الأسماء الثلاثة وانا بقلك من هلق لو منك شريك بفساد,normal
شوف أسماء المقبولين وتاريخ الولادة سنة   ,normal
عبر عن رأي الدرهم و الريال ,normal
جبران باسيل اغبى وزير خارجيه ليس بتاريخ لبنان ولكن بتاريخ الدول كافة,abusive
ليش بدها تتشكل الحكومة إذا ما راح يتغير شي لا العقلية ولا النفسيه ولا الشهيه ولا بعد النظر ولا التصرف,normal
صح قتلت مليون سوري ارهابي قذر ,hate
بستين جهنم إن شاء الله مابيضل ولا كلب علوي ولا ابن متعه,hate
خفف كوبي بايست ,normal
تسلم يا حبيب الشام ,normal
فين وهاب في الصورة عشان نعرف ,normal
أعلنت جامعة اوكسفورد البريطانية عن منح الوزير جبران باسيل دكتوراه فخرية في العلوم الإقتصادية,normal
يسعد صباحك يا قائد ,normal
بق بق بقيييق    أصناف بكى يا لبنان لا تليق فلا تعليق ,normal
طيب وين إحترامك للقضاء؟ فورا على السجن وشو سبب توقف هجومك اليومي على الشيخ سعد؟ سبحان الله فجأة إنتطفأت محركات التعدي ,normal
وانتو ياهشام خضتوا اوسخ حرب اهلية تجاوزت عشرين عام ذبحتوا بعضكم على الهوية حتى السالمين ببيوت ,normal
بصراحه راضي عن نفسك وانت تدافع عن جبران باسيل هههههههه,normal
يا قائد شخ سعد إلى مزابل التاريخ صيصان المستهبل ,hate
قد ما عم نشم الريحة على طريق المطار صار عنا عدوى الاستبقار هيدي لبتجي بعد الاستحمار لانو الحمار بعد كم مشوار بصير يعرف الطريق لحالو بس البقر قد ما تعلمو ما بيتعلم بضل هايش ونحنا هيك صرنا شعب هايش وعنا جنون البقر,normal
قولكم جبران باسيل بيقرا التعليقات اللي بتنزل متل الشتي عليه كل ما اتحفنا بقصيدة عن سوريا سوال وجيه,normal
وزير خارجية لبنان جبران باسيل هو ممثل النظام السوري بقمة بيروت مادامت سوريا موجودة ليش بري قاطع القمة,normal
تسلميلي يا قمر,normal
يحتاج هذا الحمار حصار ومقاطعه دبلوماس,abusive
جبران باسيل رجل دوله وطالما الجميع يعمل لطائفته فمن حقه هو ان يعمل لطائفته,normal
لو في دولة بتحترم حالها كما قلت ,normal
الله ينتقم من الامريكي اللعين قدر الله ان يظرب مسئولي الامريكان بالحذاء ,abusive
يا ريت حدابيعملها معالسياسيين عنا بس بدل الصباط صاروخ ارض جو ,normal
ما في لزوم تكون مناصر للوزير بس كمواطن ما بتحب جبران باسيل  ,normal
انا الموقع ادناه ومن موقعي هذا اصرّح بأنني لست مسؤول عن عدم مشاركة الرؤساء الى القمه لا من قريب ولا من بعيد,normal
"إنتهت القمة و أثبت جبران باسيل، أنه رجل دولة بامتياز، و أنه المفكّر السياسي الأول على صعيد البلد",normal
خود هالتويترجي الغبي و سكر ,abusive
تؤبريني شو ألبك حنون ما خطفتوه انقذتوه وليه ما ألتلك انو مخك ما بيستوعب روحي عالمطبخ وبلا جعدني,hate
طيب خلي إيران تحط ودائع وتربح خيو العما شو إنك تافه     ,abusive
أجل واحد بيرفض كذب الكفار والتاني بيرفض كذب الإمبريالية,normal
له يا غالي نزعتا معنا معقووووول ولا كاتب عدل علوي ولا وزير وحتى سرقو مننا واحد من مدراء عامين حتى ح  ,normal
قال تعالىمن عمل صالحاً فلنفسه ومَن أساء فعليهاولاتستوي الحسنة والسيئة ادفع بالتي هي أحسن وقل سيروا… ,normal
لعنة الله على روحو الطاهرة ناصعة البياض,abusive
ما زالك مصرة على استعمال نفس الأسلوب فهيدا ردي,normal
بس وصلت لعند محافظ على تقاليدو ودينو كنت رح أغلط عتقاليدو ودينو ,normal
هل تتذكر بنك المدينه يا حرامي,abusive
اعتقد الوزير جبران باسيل بسبب مواقفه الداعمة للمقاومة في المحفل الدولية,normal
اسم الله عليك فرجيني عرض كتافك يا فهيم على فكرة اذا ما عندك مراية بالبيت ببعتلك وحدة ,normal
جبران باسيل صديقي,normal
لك ضَل حدا ما بعبص بهالبلد كرمال هالجحش يلعن روحك انت وأبوك,abusive
كول هوا يا هوا عليك وع داعش,abusive
لازم نبيد الغوطة كلها لازم نقتل كل سني لازم نقتل كل شخص رافض ظلم بشار الأسد,hate
ايه ما هو طلع داعم القمة وما ش مقاطعا وداعم جبران باسيل وبيحب الرئيس  ,normal
ليك يا شعبان انت تعبان روح نام نومة بدون قوَمة ,abusive
ميامو الإعلام معذورين ما في غير جبران باسيل بيجبلكن رايتينغ,normal
شكرا تيمور جنبلاط على ترميم طريق الجاهلية منطقة هذا الشاذ وئام وهاب خلي كل العالم تشوف بتطلع بتاكل خرا ,abusive
و عم يبشرونا بضرايب جديدة هلبلد بدو حل ثوري صار ,normal
ما بدا هل قد وقفو الطائفية بيمشي الحال,normal
سوري وتتكلم عن الأصول  ياكنعاني مافيه مقارنة بينك وبين أهل الخليج أنت مو عربي حتى أشكالكم مو عربية بقايا مستعمرين وملقطين من كل قارة ههههههههههههههههه,hate
لا مسؤولي عن الاعاقة الفكرية لأمثال معاليك يا بيك   ,normal
لعمى ما اكذب منك الا جريدة الأخبار خراس عند هاالصبح ,abusive
خدو هالتغريده وروحوا نامو انتزعة السهرة الهارب من العدالة بيحي وزير العدل خبصها مبارح هاجم العدل والعدالة والداخلية,normal
لنصل الى دولة يحكمها القانون والعدالة يجب رفع الغطاء عن الفاسدين ,normal
وزارة الصحة أعلنت عن أسباب ازدياد الأمراض لدى المواطنين ويللي بمعظما ناتج عن تلوث هوا ومياه طيب عال شكراً هلق منشوف كيف فينا نتصل بوزارة البيئة 😎 ,normal
أكّدت أوساط الرئيس الحريري أن الأمور تتجه نحو الإنفراج بعد قبول جبران باسيل ب  حل وسط بالنسبة الى ممثل اللقاء,normal
وزير الخارجية اللبناني إلى سوريا قريبا,normal
شو عاملك عماد عثمان تخمين باعصك ,abusive
قال رح يطلعوا على ادلب الله يكون بالعون,normal
باسيل لإعادة النازحين ودعم قطري للبنان باسيل يبحث لحل عقدة تشكيل الحكومة,normal
هول هني ذاتن كانو كلاب الفلسطينية ضد حركة امل,hate
كذبك يا أيوب بدو علاج جبران باسيل,abusive
وبمعنى آخرأكرم شهيب سدو لنيعك,abusive
وانت شخص فلسطيني تعمل لصالح قطر ومنتحل شخصية عمانية وتتكلم على شخص ادرى في بلدها منك ,normal
للأسف طز بهذا البلد وطز بهيك نواب فعلا نحنا اللبنانيين شعب بيهوي,abusive
عمى ما أبشعك,abusive
قد ما تملقت حنجيبك العقاب لوهاب وهاب قاتل ابو دياب ,normal
سيحاكم هو وليد جنبلاط قريبا على رءيس الجمهورية بلتحرك السريع لانه قاتل ابوا دياب بلتامر مع وليد جنبلاط هذا هو الملف ,normal
ليك يا خريو حبيبي والله ما تزعل مني بس قسم بالله سعد الحريري ما شايفك بس شايف ع طرزك كتير يلله غالوبس ينعن شكلك ,abusive
اتحادكم لخير الموحدين قلب الموازين زيارة وهاب للشيخ الغريب ,normal
استقبل رئيس الحكومة المكلف سعد الحريري في بيت الوسط وزير الخارجية والمغتربين جبران باسيل,normal
شعر حلو ,normal
تصريحات جبران باسيل مستلهمة من القرار كفى مزايدة,normal
شحاد بكرافاتة يلعن روحك ع روح ملكك ع روح الأسد,abusive
فيك الخصام وانت الخصم والحكم ,normal
اللي بيسمع هالمزايدات على جبران باسيل بفكر انو فوزي صلوخ او عدنان منصور كانوا يطلعوا كل يوم يحكوا بازالة اسرائيل من الو…,normal
و عودك رنان ضلك عيد يا حلو هههه ,normal
فعلا المذكور بالجريدة خطييييير ,normal
ليك مين عم يحكي عن النفاق   ,normal
خازوق فيك ولي بشد عمشدك عم بيحكي عن جعجع شو خص سعد الحريري ولا عملكن عقدة,abusive
مسألة وقت و كلو بينتسا الادلة بتختفي اوبتبقى بالمحاكم القضية بعد شي أربعين سنة بتمرجحو بالموضوع لاغراض ,normal
معك حق معاليك ما حدا بيعطي ببلاش كلو بدنا ندفع حقو ان كان من قطر او السعودية أو إيران,normal
انت القدوه ابو هادي ,normal
"جبران باسيل عم ينغل نغل بين المؤتمرات وبين مساعي ومفاوضات تشكيل الحكومة وبين الإجتماعات واللقاءات الحزبية،",normal
حاج تحلم يا نبباح بشار انتهى الى غير رجعة ,abusive
ما هذا يادكتور علي خطأ قد يصفه البعض بغير المغتفر لانه في موقع من المسئولي… ,normal
عمل تويت عم يسأل عن جدوى شيطنة جبران باسيل قاموا شيطنوا إلو وما خلوا إتهام وما اتهموا فيه  ,normal
موقفكم من السعودية يدعو للعجب لكن تظل النوايا السليمة تربح ,normal
يا لطيف شو هالهضامة عم تشرشر هههههه ,normal
إذا صح الكلام عن قرب توجه جبران باسيل إلى دمشق لدعوة النظام السوري إلى القمة الاقتصادية العربية,normal
حملة مسعورة يقودها قواتيون ضد التيار الوطني الحر بدعم من تيار المستقبل والاشتراكي  بسبب دعوة الوزير جبران باسيل لعودة,normal
لا يصح إلا الصحيح ,normal
"كفّوا ألسنتكم عن روح القائد الخالد،يلعن روحك يا جولاني كوليرا",abusive
كيف عملتيه شيخ يا شيخة ,normal
لو قلت ان جبران باسيل ما بمثل التيار كنت صدقتك اكتر  ,normal
الكلب هذا نوعيتو غالية كثير كثير اغلى من صاحبو ,abusive
خصوصا ان سي ان ان طردت,normal
كنت حابب علق بعدين قرفت وبطلت حسيتك ماتستاهل  ,normal
لازم تتعيني رئيسة جامعة الدول العبرية فعلاً انت عم تنقطي عروبة وسعودية خليك بحالك ديما العظيما,normal
و اتضحت الصورة المواطنة والعروبة بحسب جبران باسيل و تميم,normal
لا حول ولا قوة الا بالله    ,normal
هههههاي والله مابومات الا البنات الي دوم دايم وهن هبلات,hate
عهد العمالة,normal
انت مش الرءيس,normal
كن عزيزاً وإياك أن تنحني مهما كان الأمر ضرورياً فربما لا تأتيك الفرصة كي ترفع رأسك مرة أخرى عمر المختار ,normal
دائما انت على حق ❤ ,normal
دون شك انو مستاهل الحذاء لكن انغلترا بلد الحريات لو هل تصرفات بيحميها القانون اللبناني ما كنت بتلحق عد صرامي ,abusive
بالعكس هنا سيكتب التاريخ,normal
كلمة تشبيح ماركة مسجلة لمؤيدي طرطور فارس بسوريا وطراطيره بمتصرفية لبنان بدولة فارس ,abusive
هيدا اسلوبهم بالحوار متل معلمهم معودين عحوار الصرامي ,hate
انت تدعو للاشمئزاز ,abusive
لولا تميم و جبهة النصرة كان بشارك انتهى زمان يا مشلخ ,abusive
"توظيف كتاب عدل من ثلاث اشقاء بالنتائج الاخيرة هم غرايس عصام نعيم، آلان عصام نعيم وايلي عصام نعيم",normal
مو مشكلة بكرة عمو اردوغان يفرشو بتكويشة,normal
بشار السفاح يلعن روح بيك بقبرو,abusive
جبران باسيل لا يمثلني يمثل نفسه والعيلة وحزب اللَّات الارهابي,hate
"ما عمنفهم خلص اخدتو قرار تعزلو لبنان نهائي ؟ مافي شي عاجبكن يا بتلعبوني عدلالي يا بطل بدي العب ، عيب لي عم… ",normal
أحلى شي هالإيام تتسمّع ع نسوان عم يشرحوا لبعض قانون الإنتخاب,normal
بايخ وسخيف ,abusive
سياسي عاهر   ,abusive
كلامك جواهر يا ريس ,normal
صح للحقد ولا البغض راح يوصلوا لنتيجة يا ريت بيستحي على كبروا عيب بالنهاية اهلا وسهلا ب… ,normal
السياسة هي ملجأ الكاتب الفاشل ميشيل عفلق,normal
ابن كلب كان يردح على الحريات وقت الإخوان بس لما العسكر يقمعوا الحريات عادي,abusive
علوي وصخ,hate
شكلك موظفه في بارات الدوحة او قواده لان مستعربين الشمال وخصوصا اللبنانيين مايملكون غير هالمواهب ,abusive
تعلموا انكليزي قبل ما ترجموا شو حكي جبران باسيل  ,normal
فاسد ,abusive
جبران باسيل لحاله فيلم,normal
جورج روق قاصي مرتشي كلب مثلك رح نشوف قديش جورج رزق بدو يبقي قاصي فاسد أنت يا شركسي مش مطول ولا عيلتك في الله,hate
وئام قديش قابض عليها هااااي,normal
يجب أن تعمم صحيح   ,normal
كول هوا يا كلب الجولاني مبارح جرة فاتت عالنظام من معبر مورك بحاج كذب بحاااااج,abusive
"عهدالعلوج ، عهدفاشل استغفر الله من امثالكم ",hate
سخيف ,abusive
أنا لي صديق قواتي هذا لا يعني انني لي نفس مبادئه وخصه وأفكاره حاج تبذقو وتلحسو جبران…,abusive
هيك مربيهم جنبلاط كل مابدو يسب حدا بفلتهم ,normal
الثانية معاليك ههههه ,normal
باسيل من سنة معمّر بنايات ورقم ليس للمبالغة المشروع القديم بنايات والجديد بالبترون وأنا شخصياً بعرف أشخاص شاريي,normal
انت ابن حرام واطي حقير عميل بلا شرف هلق بينت عمالتك وحقارتك ومن اتباع الماسونية الصهيونية با بلا شرف يا قاتل ابوك رفيق الحريري سياتي يوم وتحاسب على عمالتك,abusive
نعم ياغبي يا زنديق انعق كما تشاء لانك بلا شرف,abusive
جبران باسيل سوريا هي الفجوة الاكبر اليوم في مؤتمرنا ونشعر بثقل فراغها بدل ان نشعر بخفّة وجودها سوريا يجب ان تعود,normal
اتمنى من الدوله بعد ان صف الجرذ جبران باسيل اللبناني وزير خارجية لبنان بصف دويلة قطر ووصف المقاطعه بالحصاار ان يتم,abusive
إجراءات إنه يفشل وتطلع بريطانيا بدون صفقة يعني,normal
فداك ومعك ليوم الدين ,normal
ما خرج يرد هوه شريك وداعم وللاسف هذه المرة رهانك خاطئ ,normal
هيدا انسان تافه وكاذب كل هدف المقال القواص على جبران باسيل,abusive
لاء ووزير خارجيتنا المفصوم جبران باسيل قال ان تميم فك الحصار عن نفسه وحضر القمة  ,normal
على شو بدي رد اسمالله بطل طالع بي اسمك ,normal
هلق هيدا يلي طلع معك جبران باسيل متل جيري ماهر وقطيش,normal
التقى وزير الخارجية محمد علي الحكيم مع وزير الخارجية اللبناني جبران باسيل في العاصمة اللبنانية بيروت,normal
اسرائيل تربح و تحصل على التأييد الدولي لان هناك من يدعو ,normal
الحب الحقيقي هو لما تكتبلك تقول بقلبك تقبرني هالضحكة,normal
وهاب ما بيهاب وئامنا جذوة الوعي الحر والتمحيص العميق يسير دائماً على مبدأ عش يوماً واحداً كالأسد خير ,normal
الملك جبران باسيل بوزع شرف و صدق و أخلاق ع كل اللي متلك,normal
اولا جبران باسيل اخطأ وهالشي محسوم وما حدا يحاول يترجم,normal
ممكن تخبرنا مين هني ثلاثة ابطال ,normal
مين بيدفع اكتر بكون معو   ♀  ,normal
بياخد الأوامر من معلمه حسن نصر الشيطان,abusive
عندما يتعلق الأمر في البيت الدرزي الواحد يجب علينا الدعاء لكل من ظل الطريق ان يرجع عن خطأه وأن يتعامل… ,normal
رحمه الله قتله أسيادك أيها البوق الكبير ,abusive
فشرتي بنص عينك جمايل الاسد عليكن انتوا الشبيحة الجوعانين يلي كرامة اصغر واحد من عنا بتسوا شرفكم ولك استحوا بقا لعن دين بلدكم,abusive
انتي شكلك مو سورية بس عم تزعمي,normal
وهاب آن الآوان لإقالة هذا الرجل قبل ان يدمر المؤسسة ,normal
هودي بهائم المردة لشو الرد عليهم  اذا سليمان فرنجية عدن وطلعوا معو الف كلب وجحش وحمار  ويمكن خنازير,hate
نعم إنه عل حق اذا إسرائيل حققت سلام مع فلسطين لبنان اردن والدول العربية وين المشكل بس هيك جبران باسيل,normal
"بغض النظر عن صحّة ترجمة تصريح جبران باسيل لل ، الحق في زوال اسرائيل وليس في أمنها",normal
شو عدا مابدا,normal
خرا عليك وع رئيس حزبك و ع معلمو الكبير,abusive
شفافا ولووو وئام ابو الصرامي ,abusive
الحمار بس تقله حااا بيفهم هدون بتقلهن حاا بتلاقي حالك ما عارف من وين جاييك الضرب وبالآخر قاعد بباص أخضر وطالع عإدلب,abusive
فتش عن علاء الخواجة بكل شاردة وواردة ,normal
طل الملك طل الله القوات والحكيم وبس ولك يقبرني الله,normal
ناس ما تستاهل الا الضرب بالجزمه سحبوا عليهم الدول الثانيه ومحد عطاهم وجه الا تميم المجد وهذا كلامهم ,abusive
لاتقوليلي مابتعرفي جبران باسيل الرمز العربي قاهر الاعداء مزلزل الاوطان هازم اللاجئين ناصر حزب الله عميل ا…,normal
اذا بيقولولك ما بينضهر ليلة راس السنة لكين مين كل هول يللي بيكونوا عاملين كل هالعجقة السير,normal
"السنّة مفهوم، بس الشيعة ليش؟",normal
بوحود الرئيس ميشال عون والوزير الملك جبران باسيل سيستعيد لبنان موقعه وعافيته ونهضته رغم كل العراقيل والمعرقلين الفاسدين,normal
ماذا يعلق سماحة السيد على حملة الإفترائات التي تطال رئيس التيار الوطني الحر  الحليف الأول لحزب الله  معالي الوزير جبران باسيل,normal
لو في دولي ما كان بعدو عماد عثمان خارج السجن ,normal
يجب سجن هذا المجرم عماد عثمان ,normal
ولي كلي حالك بقى وانضبي العمى بقلبك شو وقحة لمعلوملتك بالحرب فيه البريء يفل متل اصحابك النازحين والباقي مانه بريء,abusive
صدقتي حالك ملبك الكل,normal
شي بيعوض عن شي الانجقام ببريطانيا ارحم من الانجقام بسوريا,normal
يعني بدك وجود سوري,normal
بكفي تحكي بالسيء عن جبران باسيل  بصير برنامج مشهور من اول حلقة,normal
انجاز جديد للعهدجبران باسيل,normal
مطلوب تعميم هذه التجربة في كافة الوزاراة والاقتداء بعدالة وزارة العدل ,normal
وانت شو دحشك خليك بقضية الخاشقجي وما تتدخل بشي أكبر منك وصعب عقلك يستوعبو,normal
كول هوا بليز,abusive
وهاب ابن الكلاب,abusive
كول هوا واسكت لوما الطرد كان فشخناكم,abusive
تزوج ابنتي واعطيك وزارة الخارجيه,normal
جبران باسيل هو نفسه لا يتغير في الداخل يعزز الشراكة اللبنانية وفي الخارج يعزز التفاهمات العربية انه مهندس السياسات,normal
بتفهّم فهم وحدة فهما متدنّي هههه 😎,abusive
يلعن صباحك نزعتلي نهاري ,abusive
يا كلب الأن ركعت ياجزمه ,abusive
ضب حالك افضل ماتحكي بشغلي مابتفهم فيا شكور ربك بعد في عرب بيوقفوا حد بعض وقطر تاج راسك وراس الكل      ,normal
احلا رواق ,normal
لو منك سطلة ما بتقول هيك لأن نص البلد من رأيي يا سطلة,normal
اليوم الذي يصبح فيه جبران باسيل رئيسا للجمهورية هو اليوم الذي أتخلي فيه عن جنسيتي اللبنانية و نقطة عالسطر,normal
لماذا لم تسلم ال الاصلي الى الجهزة الامنية وراوغت في الموضوع لتعود وتسلمهم من العام من يضل… ,normal
جبران باسيل لم يقدم هو يأخذ فقط بتحط نفسك بمواقف بايخة  ,normal
لقد كان عاماً مليئاً بال يلعن روحك يا حافظ,abusive
جبران سبب ثقب الاوزون باسيل     ,normal
هو استحق الضرب بقيمته المعنوية والصحافي رائع ,normal
بيقتل القتيل وبيمشي بجنازته الهيئة الحق على الشبح كاسبر,normal
"مش شي عيب القرعة يا فهمانة ، بس كبراني الخسة براسو",abusive
هودي ما رح يتغيّروا وما تغيّروا,normal
عثمان من أنصاف الرجال ,abusive
هل تعلم يا عزيزي ان اي شخص يستعمل كلمة فينيقيا للدلالة على لبنان هو حمار معبا ببنطلون,abusive
كفاك لعب أيها الصبي يجب أن يوجد من يعلمك الحياة و التعامل مع البشر انك اقذر شخصية مرت على مستوى التاريخ ,abusive
ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو… ,abusive
ليك مين عم يحكي عن الفيميه وتسهيل المرور   وعلي الأمين وقع ع الدرج,normal
والتصدي للقوى الأمنية وشهر السلاح في وجهها وتحدي القضاء وأطلاق النار في الجاهلية بشكل عشوائي لترهيب,normal
هيدا الصحيح سلمت يداكي ,normal
جبران باسيل رجل شرّير,abusive
سد بوزك يا صرصور يا خائن يا عميل انتم الذين يستعبدكم الإقطاعي وليد جنبلاط انتم يا قطعان يكفيكم إذلال وتلبية يكفي تجارة بكم,hate
مابعمركم انتو رح بتحبو بعض لعالم عم بتخطط كيف تقضي علينا وانتوا بزعماتكم لمزيفه بتخرضو لشارع ع بعض كلكم… ,normal
هو بيعرف ومعترف بهالشي بس هلّق المخرج هيك بدّو وهو عمبأدّي الدور بجدارة ,normal
تعرف تقول لنا جدك منين وأصلك منين  قبل ما تتكلم انت وتسأل عن التاريخ وانت مجرد كلب نابح نازح لا أصل لك,abusive
كول خرا ما إلي جلادتك بس لمعلوماتك جبران باسيل داعس بقلبك,abusive
هذا العالم مليئ بالتُرّهات ما منستاهل جبران باسيل ,normal
دحلان عربي قح؟ لعن الله غباء أهلك ظلموك فأحضروك إلى هذه الدنيا ,abusive
شكرآ قطر واهلآ وسهلآ بأميرها رغم انفك وانف من يعارض واذا هاي القمة ماكان عندا ولا إنجاز بكفي انجاز,normal
صغير وراح تبقى صغير ,abusive
مشايخ العقل تبعونك أشرف او احسن منه ,normal
قديشك واطي يا مارسيل السيد نصر الله مش بس بي الشيعة هو بي كل لبنان وكل حر عندو كرامة بهالدني واكيد انت ما عندك ياها ولك تفيييي صار الوقت,abusive
الإنجازات يللي حكي عنا الوزير انو عملها بتضوّي لبنان وقبرص,normal
يلعن رب شحادة اللايكات باسم سوريا وبصور ولاد سوريا اخت تعاطفكم بالناقص منو,abusive
مع شيخ الشباب معالي الوزير جبران باسيل,normal
مين سرقها من التاني انت او راغب علامة؟ ,normal
ليك يا ابن الحرام يا كلب الاسد اذا انت رجال تقول اسمك الحقيقي ودم المعلم لندعس عراسك يا واطي,abusive
مساؤكم ورد وفل ,normal
والجولان مين رح يعيدا للعرب,normal
كذلك نرى الوئام هو ليس حيادياً او موارباً هومع التحت مع الفقراء والبسطاء الذين يكونون دائماً عند خط الواجب ال… ,normal
كتير حلو يا معالي الوزير بس ما تكون قاصد وزير الخارجية على مشاركته بالاجتماع المغلق المتعلق بي سوريا     ,normal
وهاب من كتر الخبيط امسى مريض عقليا يعتقد بانه زلمه وهنا تكمن المشكلة   ,normal
والله لو في دوله ما تركتك انت ورئيسك ,normal
العرب جرب انتو حلو مشاكلكم الي صارلها سنه وبعدين شوفو مصير غيركم منافقين,hate
رجل المهات الصعبة جبران باسيل رفعت اسم لبنان بالعالي وفرجيت الكل قديشك وطنياذا هلق وهيك كيف بس تجي رئي…,normal
أكد وزير الخارجية اللبناني جبران باسيل الأحد أن بلاده تخطط إقامة تبادل تجاري وخطوط نقل وغاز وسكك حديد مع العراق,normal
هؤلاء كلهم لا يردعهم إلا النعال في وجوههم أمراء النجاسة والنفاق والعهر ,abusive
حتى لو بسوريا  بالنهاية العيل اللبنانيه والسورية ممتزجين نفس العائله واﻻجرام بدمهن بدهن حرق مش دعس,hate
العمى بقلبك شو مهضوم     ,abusive
وين كان صوتكم وريحتكم قبل جبران باسيل,normal
خنزير و فطس كلب من كلاب الشيعة ساند الروافض لو كان اسمه خميني بل عمر كرامي الرافضي,hate
طيب جيب مساعدات من صاحبك مبز ,normal
كنت فوبيا الشيخ سعد صرت فوبيا اللواء عثمان ارحم حالك شوي ,normal
"مين هالشيخ ،، ومين وهاب ومين طلال ،، مع بعضن مش مخلصين لا بالدنيي ولا بالآخرة ،، مااااا في متل… ",normal
كلو اخرا من بعضو بس ما حدا اخرا منك ومن بشار فكر فيها ,abusive
اذا الله عاطيهم ذكاء بالعيلة ومش عاطيكم شو ذنبهم ,normal
هذا المنحط والمعروف عنه مخبر حقير واسألوا لبنانيين عنه وهو مستعد يبيع اهله لمن يدفع ومجرم وتجار مخدرات ,abusive
هههه كيف طلعت معك هيدي لا تسأل قديش       ,normal
فهمني شو يعني ثورة هدا المخلوق ديما عجيب غريب,normal
نحن لا ننكر التاريخ صدام ارتكب خطأ كبير جداً ونحن اتخذنا… ,normal
قمة فاشله دعوا اليها الفاشلين ما بتروحوا الا عالقمم بضم حرف القاف بينما الشيخ نعيم حسن بيشارك,normal
جبران باسيل بدو يعلم أمريكا ولندن كيف تدير بلد من دون ميزانية   ونحن آخر انتاج عنا كان بسكوتة الدبكة,normal
وجود عثمان وامثاله يمس مصداقية قوى الأمن ويسقط هيبتها ,normal
معالي الوزير الخيارين بيظبطوا ,normal
الله يستر الشارع الفرنسي اليوم من خضة راشيل كرم عم تغطي التظاهرة,normal
ع اساس بيروت ناطرة اشارة منك لتستقبل امير قطر او غيره ,normal
بشرفك شو نوع الحشيش يلي عم تدخنو شكلو ممتاز,normal
طيب كول هوا واحط من هون,abusive
رح يطققك جبران باسيل,normal
دخل هالبسمة يا قاهرهم ,normal
بن جدو الكلب شو بده يطلع منه,abusive
رح إتركِك لأن تعبت من القلق انو شي يوم تتركيني,normal
صفقات البلديات ما فهمت والله شو بتقصد  بتقصد صفقة مارسيلينو الحرك مع جبران ,normal
صدق من قال هذا زمان الدعارة قد تكامل ,abusive
استثمر العطل لتغير ديكور المكتب وتجدد إطلالته,normal
